iter	Logloss
0	0.5529260742
1	0.4518942383
2	0.3816243652
3	0.3067757324
4	0.2585175781
5	0.2224682617
6	0.1797233032
7	0.1639007202
8	0.1498575439
9	0.1381990112
10	0.1282858398
11	0.1195930908
12	0.1094258789
13	0.1030503418
14	0.09156637573
15	0.08794589233
16	0.08345742188
17	0.08016662598
18	0.07501168823
19	0.07292045288
20	0.0720647522
21	0.06908898926
22	0.0677460144
23	0.06682095337
24	0.06456168823
25	0.06356880493
26	0.06320636597
27	0.0619335022
28	0.06150505981
29	0.06122456665
30	0.06099248047
31	0.0601260376
32	0.05986330566
33	0.05969523315
34	0.05943851929
35	0.05929887695
36	0.05864039307
37	0.05848543701
38	0.05794037476
39	0.05753978882
40	0.05712503662
41	0.05699194336
42	0.05671398926
43	0.05667484741
44	0.05642188721
45	0.05615072632
46	0.05599205933
47	0.05592561035
48	0.05580863647
49	0.0556081665
50	0.05548737183
51	0.05536477661
52	0.05515814819
53	0.05500254517
54	0.0548833374
55	0.05474931641
56	0.05463841553
57	0.05450831909
58	0.05443305664
59	0.05437498169
60	0.05424039307
61	0.0541333252
62	0.0540395752
63	0.05397806396
64	0.05390305176
65	0.05389830933
66	0.05380699463
67	0.05372529907
68	0.05363899536
69	0.05353725586
70	0.05349084473
71	0.0534279541
72	0.05333822632
73	0.05321275024
74	0.0531541687
75	0.05307694702
76	0.05302962646
77	0.05297671509
78	0.05291171875
79	0.05284793091
80	0.05279040527
81	0.05269891357
82	0.05264168091
83	0.05253900757
84	0.05250206909
85	0.05237156982
86	0.05227034912
87	0.05223286743
88	0.05217366333
89	0.05207317505
90	0.05192314453
91	0.05184985352
92	0.05174550171
93	0.05171325684
94	0.05166513672
95	0.05159106445
96	0.05156880493
97	0.05148125
98	0.05142223511
99	0.05136646729
100	0.05124981079
101	0.0512145874
102	0.05111967773
103	0.05109792175
104	0.05099441833
105	0.05091907654
106	0.05088624268
107	0.0508399353
108	0.05078907166
109	0.05076630249
110	0.05070524597
111	0.05062658386
112	0.05061803589
113	0.05050865173
114	0.05046539307
115	0.05044348755
116	0.05038826294
117	0.05036040039
118	0.0503597168
119	0.05025992432
120	0.05017195435
121	0.05010917053
122	0.0500805481
123	0.05004872437
124	0.05004024048
125	0.05000984192
126	0.04998150635
127	0.04992866516
128	0.04991354675
129	0.04991169739
130	0.04985455627
131	0.04984075012
132	0.0497852478
133	0.04978125916
134	0.04972779541
135	0.04971023865
136	0.04960269165
137	0.04951506958
138	0.04942214355
139	0.0494150116
140	0.04939646912
141	0.04937694702
142	0.04933024292
143	0.04932865906
144	0.04928804016
145	0.04921899109
146	0.04920328064
147	0.04914979553
148	0.04911542053
149	0.0490456543
150	0.04899503479
151	0.04893223572
152	0.04888829651
153	0.04886874695
154	0.04885843201
155	0.04877309875
156	0.04873180237
157	0.04866496582
158	0.04861328735
159	0.04858052063
160	0.04857192993
